review,rating
gedung gedung tinggi tapi kok kaya terbengkalai gitu,3 bintang
asri dan nyaman masih banyak pohon,5 bintang
pohon pohonnya diunmul masih terawat loh dan buat belajar di bawahnya masih oke,5 bintang
taman unmul selalu ramai ya dulu kirain itu tempat apa gitu ternyata duduk duduk sambil baca seru ada kantinnya juga disitu,5 bintang
alumni unmul ini,4 bintang
MAsa iya skrang banyak skandal,1 bintang
ganyangka,2 bintang
banyak gedung serbaguna tapi minta perizinan susah banget dan lama ribet,2 bintang
Kadang wifi nya ga kuat masa ga bisa upgrede lebih,2 bintang
bisa,5 bintang
siyappp...,4 bintang
"Lumayan bagus, hanya saja seperti tidak terawat, karena kdg tempatnya kotor seperti tdk ada yg membersihkan",4 bintang
"UNMUL AKU KASIH BINTANG TIGA, KALO KETERIMA GEOLOGI AKU BINTANG 5",3 bintang
"tempat nya bersih, lumayan luas.Pesan saya untuk mahasiswa, jangan nyampah di taman🙏🏽 …",4 bintang
mari smaa sama jaga dan rawat kampus kita,4 bintang
Nyasar trus kalau keliling unmul ini,4 bintang
Sebagian waktu habis di sini wkwkw,5 bintang
masih sepi juga kegiatan nya unmul ini,3 bintang
Pernah datang ke unmul buat pelatihan dan gedungnya bagus nyaman dan bersih,5 bintang
Alumni,5 Bintang
lumayan lah, 4 bintang
sudah sering kesini,4 bintang
ada ciri khasnya unmul ini yaitu tropis luas lagi,5 bintang
b ja,1 bintang
sudah seharusnya,5 bintang
kren dh,3 bintang
apalah ini,1 bintang
UKT NAH MAHAL BANAR,1 bintang
aku sudah cukup sennag keterima di unmul ini impian pas SMA bisa masuk unmul🥰🥰🥰 dan akhirnya masuk FK UNMUL,5 bintang
makasih,4 bintang
ya,3 bintang
cukup prihatin,2 bintang
suka senang disini semua bareng teman,5 bintang
unmul tempatnya nostalgia,4 bintang
kalau kesini sekarang sama anak istri liat tempat ku mencari ilmu,5 bintang
sukses selalu univ ku,5 bintang
PKKMB kemarin seru loh unmul maksih,5 bintang
Tidak pernah mengecewakan,4 bintang
Baguss,5 bintang
WC-nya tidak terawat,3 bintang
setiap ada kegiatan wisuda macett parah,4 bintang
bulan depan aku wisuda Unmul🤗💜,5 bintang
bersih,5 bintang
iya bagus,5 bintang
Dari awal sudah suka banget dan semangatt masuk unmul karena impian sampai lulus juga dan kerja masih suka lewat unmul untuk mengingat kenangan itu,5 bintang
impian,5 bintang
jalan kaki aja klau ke kampus dan lebih sehat,4 bintang
bersih,4 bintang
semangattt,3 bintang
iya baguss,4 bintang
kerenn sih menurut gue, bintang
gabisa berkata kata lagi gue ke unmul,1 bintang
mantapp jiwaa,5 bintang
sekarang unmul unggull emng pantes sih,5 bintang
luarr biasaa kerenn,4 bintang
